id,Season,Year,total_seas_prcp,name
ASN00023000,Autumn,1915,1410,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1915,1270,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1915,4791,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1915,1659,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1915,1652,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1915,2016,PERTH REGIONAL OFFICE
ASN00014163,Spring,1915,1852,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1915,1164,ADELAIDE WEST TERRACE
ASN00040214,Spring,1915,1089,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1915,635,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1915,1411,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1915,1663,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1915,1014,PERTH REGIONAL OFFICE
ASN00014163,Summer,1915,4630,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1915,151,ADELAIDE WEST TERRACE
ASN00040214,Summer,1915,2952,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1915,1405,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1915,748,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1915,591,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1915,5910,PERTH REGIONAL OFFICE
ASN00014163,Winter,1915,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1915,2196,ADELAIDE WEST TERRACE
ASN00040214,Winter,1915,1215,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1915,2025,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1915,1514,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1915,812,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1916,1415,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1916,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1916,807,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1916,2877,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1916,2763,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1916,1045,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1916,1365,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1916,1275,PERTH REGIONAL OFFICE
ASN00014163,Spring,1916,NA,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1916,1643,ADELAIDE WEST TERRACE
ASN00040214,Spring,1916,3128,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1916,4646,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1916,4506,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1916,2736,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1916,822,PERTH REGIONAL OFFICE
ASN00014163,Summer,1916,4435,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1916,675,ADELAIDE WEST TERRACE
ASN00040214,Summer,1916,5756,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1916,1925,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1916,2749,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1916,4003,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1916,5431,PERTH REGIONAL OFFICE
ASN00014163,Winter,1916,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1916,4037,ADELAIDE WEST TERRACE
ASN00040214,Winter,1916,1662,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1916,2087,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1916,1375,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1916,2386,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1917,1797,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1917,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1917,2130,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1917,1018,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1917,4266,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1917,1390,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1917,1960,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1917,2467,PERTH REGIONAL OFFICE
ASN00014163,Spring,1917,2378,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1917,1768,ADELAIDE WEST TERRACE
ASN00040214,Spring,1917,4873,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1917,4618,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1917,2860,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1917,2019,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1917,709,PERTH REGIONAL OFFICE
ASN00014163,Summer,1917,4231,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1917,981,ADELAIDE WEST TERRACE
ASN00040214,Summer,1917,4052,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1917,2478,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1917,1671,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1917,884,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1917,6632,PERTH REGIONAL OFFICE
ASN00014163,Winter,1917,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1917,2480,ADELAIDE WEST TERRACE
ASN00040214,Winter,1917,461,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1917,1960,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1917,1856,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1917,1819,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1918,2671,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1918,2451,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1918,1206,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1918,1848,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1918,1960,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1918,2336,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1918,1264,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1918,1842,PERTH REGIONAL OFFICE
ASN00014163,Spring,1918,691,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1918,893,ADELAIDE WEST TERRACE
ASN00040214,Spring,1918,1337,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1918,1261,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1918,1608,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1918,1557,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1918,480,PERTH REGIONAL OFFICE
ASN00014163,Summer,1918,12758,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1918,304,ADELAIDE WEST TERRACE
ASN00040214,Summer,1918,2751,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1918,4824,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1918,1378,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1918,1039,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1918,5066,PERTH REGIONAL OFFICE
ASN00014163,Winter,1918,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1918,2025,ADELAIDE WEST TERRACE
ASN00040214,Winter,1918,410,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1918,2871,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1918,1587,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1918,1854,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1919,1297,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1919,6464,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1919,672,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1919,3420,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1919,8005,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1919,2259,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1919,1593,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1919,1242,PERTH REGIONAL OFFICE
ASN00014163,Spring,1919,1258,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1919,1010,ADELAIDE WEST TERRACE
ASN00040214,Spring,1919,366,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1919,3072,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1919,980,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1919,706,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1919,506,PERTH REGIONAL OFFICE
ASN00014163,Summer,1919,7083,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1919,1107,ADELAIDE WEST TERRACE
ASN00040214,Summer,1919,706,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1919,2516,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1919,2035,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1919,1227,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1919,4752,PERTH REGIONAL OFFICE
ASN00014163,Winter,1919,99,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1919,1590,ADELAIDE WEST TERRACE
ASN00040214,Winter,1919,421,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1919,1307,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1919,1064,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1919,1383,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1920,2119,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1920,1342,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1920,1112,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1920,1477,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1920,1173,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1920,1438,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1920,986,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1920,1068,PERTH REGIONAL OFFICE
ASN00014163,Spring,1920,3497,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1920,1702,ADELAIDE WEST TERRACE
ASN00040214,Spring,1920,3017,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1920,1229,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1920,2985,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1920,1035,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1920,53,PERTH REGIONAL OFFICE
ASN00014163,Summer,1920,11277,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1920,600,ADELAIDE WEST TERRACE
ASN00040214,Summer,1920,3927,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1920,6225,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1920,791,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1920,1052,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1920,7019,PERTH REGIONAL OFFICE
ASN00014163,Winter,1920,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1920,3373,ADELAIDE WEST TERRACE
ASN00040214,Winter,1920,1669,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1920,2418,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1920,1987,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1920,994,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1921,3135,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1921,3787,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1921,1697,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1921,4259,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1921,4112,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1921,1108,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1921,623,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1921,2239,PERTH REGIONAL OFFICE
ASN00014163,Spring,1921,NA,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1921,1803,ADELAIDE WEST TERRACE
ASN00040214,Spring,1921,1681,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1921,2273,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1921,2519,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1921,574,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1921,603,PERTH REGIONAL OFFICE
ASN00014163,Summer,1921,6337,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1921,671,ADELAIDE WEST TERRACE
ASN00040214,Summer,1921,4180,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1921,2378,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1921,2158,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1921,845,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1921,4466,PERTH REGIONAL OFFICE
ASN00014163,Winter,1921,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1921,1589,ADELAIDE WEST TERRACE
ASN00040214,Winter,1921,3697,BRISBANE REGIONAL OFFICE
